sepal length,sepal width,petal length,petal width,class
5.9,3.0,5.1,1.8,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.0,3.5,1.3,0.3,Iris-setosa
5.6,3.0,4.5,1.5,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica
4.5,2.3,1.3,0.3,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
4.8,3.4,1.6,0.2,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
5.2,4.1,1.5,0.1,Iris-setosa
7.2,3.6,6.1,2.5,Iris-virginica
5.2,3.4,1.4,0.2,Iris-setosa
5.9,3.2,4.8,1.8,Iris-versicolor
6.7,2.5,5.8,1.8,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
5.1,3.8,1.6,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.8,2.7,3.9,1.2,Iris-versicolor
6.9,3.2,5.7,2.3,Iris-virginica
6.1,2.9,4.7,1.4,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.2,2.9,4.3,1.3,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
